"adshex","class","duration1","duration2","duration3","duration4","duration5","boxes1","boxes2","boxes3","boxes4","boxes5","speed1","speed2","speed3","speed4","speed5","altitude1","altitude2","altitude3","altitude4","altitude5","steer1","steer2","steer3","steer4","steer5","steer6","steer7","steer8","flights","squawk_1","observations","type","type2"
"A00C4B","surveil",0.45,0.125,0.025,0.025,0.375,0.475,0.25,0.25,0.025,0,0.337128399746996,0.408285895003163,0.185431161711997,0.0530255112797807,0.0161290322580645,0.0102255956145899,0.168564199873498,0.793274298966899,0.0279359055450137,0,0.151697238034999,0.203773982711364,0.303921568627451,0.154543537845246,0.0333122496310352,0.0880244570946658,0.0108581066835336,0.010752688172043,40,4414,9486,"C182",92
"A0AB21","surveil",0.523809523809524,0,0.0476190476190476,0.0952380952380952,0.333333333333333,0.714285714285714,0.0952380952380952,0.0476190476190476,0.142857142857143,0,0.703329119258323,0.144542772861357,0.114201432785504,0.0265486725663717,0.011378002528445,0.00716392751790982,0.580699536451749,0.374209860935525,0.0379266750948167,0,0.141592920353982,0.152549515381374,0.16645596291614,0.309313105773283,0.00800674252001686,0.0783817951959545,0.0214917825537295,0.0640539401601349,21,4414,2373,"C182",92
"A0AE77","surveil",0.262295081967213,0.19672131147541,0.0819672131147541,0.114754098360656,0.344262295081967,0.639344262295082,0.295081967213115,0.0327868852459016,0.0327868852459016,0,0.703036723163842,0.181261770244821,0.0665018832391714,0.0309557438794727,0.018243879472693,0,0.000117702448210923,0.0341337099811676,0.923375706214689,0.0423728813559322,0.12123352165725,0.256709039548023,0.279778719397363,0.209981167608286,0.00941619585687382,0.0379001883239171,0.0110640301318267,0.0277777777777778,61,4414,8496,"T206",418
"A0AE7C","surveil",0.521739130434783,0.0869565217391304,0.0434782608695652,0.0434782608695652,0.304347826086957,0.565217391304348,0.0434782608695652,0.260869565217391,0,0.130434782608696,0.129673556986332,0.291087766858692,0.384954252795662,0.0981588162204902,0.096125607138823,0,0.00463119846379758,0.200722918784593,0.722805828532701,0.0718400542189088,0.159493956850785,0.256636168530442,0.238111374675251,0.16830452953801,0.0230430362588953,0.0860725177905795,0.0140065514514854,0.0147972438721337,23,4415,8853,"T206",418
"A0C462","surveil",0.25,0.0833333333333333,0.5,0.0833333333333333,0.0833333333333333,0.208333333333333,0.0416666666666667,0.0416666666666667,0.5,0.208333333333333,0.0406905055487053,0.00246609124537608,0.0419235511713933,0.170160295930949,0.744759556103576,0.0110974106041924,0.00739827373612824,0.0234278668310728,0.0900123304562269,0.86806411837238,0.0197287299630086,0.0209617755856967,0.199753390875462,0.478421701602959,0.11960542540074,0.118372379778052,0.0061652281134402,0.0110974106041924,24,1731,811,"P8",338
"A0E032","surveil",0.411764705882353,0.176470588235294,0.0588235294117647,0.117647058823529,0.235294117647059,0.294117647058824,0.176470588235294,0.117647058823529,0.176470588235294,0.235294117647059,0.0274656679151061,0.0649188514357054,0.35330836454432,0.269662921348315,0.284644194756554,0.00124843945068664,0.00499375780274657,0.0599250936329588,0.052434456928839,0.881398252184769,0.00624219725343321,0.0337078651685393,0.230961298377029,0.444444444444444,0.0973782771535581,0.162297128589263,0.00749063670411985,0.00749063670411985,17,2552,801,"BE20",49
"A0E055","surveil",0.0588235294117647,0.323529411764706,0.235294117647059,0.235294117647059,0.147058823529412,0.0588235294117647,0.176470588235294,0.205882352941176,0.323529411764706,0.235294117647059,0.0270948319116909,0.0291018564977421,0.244856999498244,0.149523331660813,0.54942298043151,0,0.00200702458605118,0.0165579528349222,0.0316106372303061,0.94982438534872,0.0175614651279478,0.0316106372303061,0.212242849974912,0.464124435524335,0.0948319116909182,0.147014550928249,0.00852985449071751,0.00802809834420472,34,4405,1993,"BE20",49
"A0E2D1","surveil",0.44,0.12,0.2,0.08,0.16,0.32,0.12,0.16,0.2,0.2,0.0547466511357018,0.0972626674432149,0.371578334304019,0.216656959813628,0.259755387303436,0.0064065230052417,0.0145602795573675,0.0133954571927781,0.0687245195107746,0.896913220733838,0.0273733255678509,0.0337798485730926,0.224810716365754,0.411182294700058,0.0879440885264997,0.170646476412347,0.0128130460104834,0.0104834012813046,50,6755,1717,"BE20",49
"A10FBB","surveil",0.0533333333333333,0.08,0.08,0.08,0.706666666666667,0.08,0.4,0.48,0.0266666666666667,0.0133333333333333,0.453865863644768,0.372718387616557,0.136592968275352,0.0240906569458753,0.0127321235174472,0.057928520484983,0.181023324616319,0.687429009166072,0.0735927305386058,2.64151940196001e-05,0.231238608447579,0.25033679372375,0.21993290540719,0.129355205113982,0.0231397099611697,0.0645059037958634,0.00800380378793882,0.0137094856961724,75,4414,37857,"C182",92
"A1488A","surveil",0.225806451612903,0.193548387096774,0.225806451612903,0.129032258064516,0.225806451612903,0.741935483870968,0.193548387096774,0.0645161290322581,0,0,0.265560165975104,0.18483591097699,0.220294228592984,0.181440965673331,0.147868728781592,0,0.00377216144851,0.748774047529234,0.247453791022256,0,0.129762353828744,0.039230479064504,0.050546963410034,0.624292719728404,0.00754432289701999,0.029045643153527,0.016220294228593,0.048283666540928,31,4414,2651,"C182",92
